-70  -70 5
-70  -40 5
-70  -10 5
-70  20 5
-70  50 5
-70  80 5
-70  110 5
-70  140 5
-70  170 5
-70  200 5
-70  230 5
-70  260 5
-70  290 5

-40  -70 -15
-40  -40 -15
-40  -10 -15
-40  20 -15
-40  50 -15
-40  80 -15
-40  110 -15
-40  140 -15
-40  170 -15
-40  200 -15
-40  230 -15
-40  260 -15
-40  290 -15

-10  -70 5
-10  -40 5
-10  -10 5
-10  20 5
-10  50 5
-10  80 5
-10  110 5
-10  140 5
-10  170 5
-10  200 5
-10  230 5
-10  260 5
-10  290 5

20  -70 -15
20  -40 -15
20  -10 -15
20  20 -15
20  50 -15
20  80 -15
20  110 -15
20  140 -15
20  170 -15
20  200 -15
20  230 -15
20  260 -15
20  290 -15

50  -70 5
50  -40 5
50  -10 5
50  20 5
50  50 5
50  80 5
50  110 5
50  140 5
50  170 5
50  200 5
50  230 5
50  260 5
50  290 5

80  -70 -15
80  -40 -15
80  -10 -15
80  20 -15
80  50 -15
80  80 -15
80  110 -15
80  140 -15
80  170 -15
80  200 -15
80  230 -15
80  260 -15
80  290 -15

110  -70 5
110  -40 5
110  -10 5
110  20 5
110  50 5
110  80 5
110  110 5
110  140 5
110  170 5
110  200 5
110  230 5
110  260 5
110  290 5

140  -70 -15
140  -40 -15
140  -10 -15
140  20 -15
140  50 -15
140  80 -15
140  110 -15
140  140 -15
140  170 -15
140  200 -15
140  230 -15
140  260 -15
140  290 -15

170  -70 5
170  -40 5
170  -10 5
170  20 5
170  50 5
170  80 5
170  110 5
170  140 5
170  170 5
170  200 5
170  230 5
170  260 5
170  290 5

200  -70 -15
200  -40 -15
200  -10 -15
200  20 -15
200  50 -15
200  80 -15
200  110 -15
200  140 -15
200  170 -15
200  200 -15
200  230 -15
200  260 -15
200  290 -15

230  -70 5
230  -40 5
230  -10 5
230  20 5
230  50 5
230  80 5
230  110 5
230  140 5
230  170 5
230  200 5
230  230 5
230  260 5
230  290 5

260  -70 -15
260  -40 -15
260  -10 -15
260  20 -15
260  50 -15
260  80 -15
260  110 -15
260  140 -15
260  170 -15
260  200 -15
260  230 -15
260  260 -15
260  290 -15

290  -70 5
290  -40 5
290  -10 5
290  20 5
290  50 5
290  80 5
290  110 5
290  140 5
290  170 5
290  200 5
290  230 5
290  260 5
290  290 5

